 Date__(UT)__HR:MN, , , R.A._(ICRF), DEC__(ICRF),    APmag,  S-brt,             delta,     deldot,     S-O-T,/r,     S-T-O,  Sky_motion, Sky_mot_PA, RelVel-ANG,  Lun_Sky_Brt, sky_SNR,
***************************************************************************************************************************************************************************************
$$SOE
 1901-Jul-08 00:00, , , 10 39 27.87, +14 25 02.1,    8.102,  4.977,  2.82056305292327, 13.8631531,   49.7314,/T,   19.7271,   1.0877804,  112.97261,  20.492403,         n.a.,    n.a.,
 1901-Jul-15 00:00, , , 10 51 07.55, +13 11 44.0,    8.109,  4.947,  2.87477000364095, 12.9418274,   46.1767,/T,   18.6659,   1.1143517,  113.32285,  18.476694,         n.a.,    n.a.,
 1901-Jul-22 00:00, , , 11 02 58.05, +11 55 51.2,    8.110,  4.916,  2.92513602864062, 11.9682494,   42.6892,/T,   17.5488,   1.1381883,  113.62366,  16.557951,         n.a.,    n.a.,
 1901-Jul-29 00:00, , , 11 14 57.93, +10 37 41.5,    8.106,  4.882,  2.97152309964427, 10.9782830,   39.2626,/T,   16.3836,   1.1594462,  113.87789,  14.763486,         n.a.,    n.a.,
 1901-Aug-05 00:00, , , 11 27 06.30, +09 17 31.1,    8.097,  4.847,  3.01390417262940,  9.9858132,   35.8877,/T,   15.1765,   1.1791140,  114.08038,  13.082230,         n.a.,    n.a.,
 1901-Aug-12 00:00, , , 11 39 22.95, +07 55 34.8,    8.082,  4.811,  3.05222544317378,  8.9634485,   32.5551,/T,   13.9312,   1.1977555,  114.21783,  11.461395,         n.a.,    n.a.,
 1901-Aug-19 00:00, , , 11 51 47.70, +06 32 10.8,    8.063,  4.774,  3.08632672030916,  7.9024587,   29.2614,/T,   12.6523,   1.2145531,  114.28735,  9.8882582,         n.a.,    n.a.,
 1901-Aug-26 00:00, , , 12 04 20.06, +05 07 39.8,    8.038,  4.735,  3.11611560672001,  6.8348497,   26.0054,/T,   11.3462,   1.2294513,  114.29273,  8.3906345,         n.a.,    n.a.,
 1901-Sep-02 00:00, , , 12 16 59.86, +03 42 21.1,    8.008,  4.694,  3.14160660647961,  5.7760554,   22.7848,/T,   10.0189,   1.2432403,  114.23113,  6.9698458,         n.a.,    n.a.,
 1901-Sep-09 00:00, , , 12 29 47.52, +02 16 32.5,    7.972,  4.651,  3.16279203395792,  4.6978738,   19.5978,/T,    8.6754,   1.2564441,  114.09207,  5.5804389,         n.a.,    n.a.,
 1901-Sep-16 00:00, , , 12 42 43.38, +00 50 34.5,    7.930,  4.606,  3.17954970801401,  3.5893787,   16.4522,/T,    7.3235,   1.2682059,  113.87487,  4.2062255,         n.a.,    n.a.,
 1901-Sep-23 00:00, , , 12 55 47.38, -00 35 09.6,    7.883,  4.557,  3.19181470181462,  2.4800814,   13.3699,/T,    5.9780,   1.2783244,  113.58387,  2.8731514,         n.a.,    n.a.,
 1901-Sep-30 00:00, , , 13 08 59.61, -02 00 18.0,    7.829,  4.505,  3.19962870541929,  1.3879846,   10.3982,/T,    4.6656,   1.2874372,  113.21775,  1.5910751,         n.a.,    n.a.,
 1901-Oct-07 00:00, , , 13 22 20.62, -03 24 30.3,    7.771,  4.451,  3.20302298688312,  0.2860864,    7.6584,/T,    3.4452,   1.2960940,  112.76816,  0.3209726,         n.a.,    n.a.,
 1901-Oct-14 00:00, , , 13 35 50.87, -04 47 24.0,    7.717,  4.404,  3.20190937163990, -0.8386117,    5.5133,/T,    2.4840,   1.3034103,  112.23629,  -0.958066,         n.a.,    n.a.,
 1901-Oct-21 00:00, , , 13 49 30.24, -06 08 34.4,    7.691,  4.388,  3.19625004696604, -1.9578758,    4.8506,/T,    2.1859,   1.3090710,  111.62737,  -2.222570,         n.a.,    n.a.,
 1901-Oct-28 00:00, , , 14 03 18.65, -07 27 38.1,    7.712,  4.422,  3.18611601696381, -3.0509320,    6.1834,/L,    2.7849,   1.3135913,  110.94180,  -3.456805,         n.a.,    n.a.,
 1901-Nov-04 00:00, , , 14 17 16.38, -08 44 13.6,    7.751,  4.475,  3.17158333703951, -4.1418178,    8.6474,/L,    3.8905,   1.3175782,  110.17371,  -4.693158,         n.a.,    n.a.,
 1901-Nov-11 00:00, , , 14 31 23.53, -09 57 57.9,    7.790,  4.530,  3.15260682600986, -5.2460466,   11.5558,/L,    5.1891,   1.3201344,  109.32661,  -5.958794,         n.a.,    n.a.,
 1901-Nov-18 00:00, , , 14 45 39.53, -11 08 27.4,    7.823,  4.582,  3.12918523909005, -6.3358675,   14.6592,/L,    6.5639,   1.3208353,  108.40767,  -7.232983,         n.a.,    n.a.,
 1901-Nov-25 00:00, , , 15 00 03.65, -12 15 19.9,    7.850,  4.629,  3.10143005494106, -7.3879343,   17.8659,/L,    7.9699,   1.3201003,  107.41992,  -8.495854,         n.a.,    n.a.,
 1901-Dec-02 00:00, , , 15 14 35.47, -13 18 16.0,    7.872,  4.673,  3.06947297848313, -8.4224986,   21.1403,/L,    9.3872,   1.3185988,  106.36103,  -9.773147,         n.a.,    n.a.,
 1901-Dec-09 00:00, , , 15 29 14.33, -14 16 56.6,    7.888,  4.713,  3.03332550561956, -9.4580897,   24.4679,/L,   10.8049,   1.3154403,  105.23779,  -11.09965,         n.a.,    n.a.,
 1901-Dec-16 00:00, , , 15 43 58.79, -15 11 03.5,    7.899,  4.750,  2.99303391396875,-10.4675108,   27.8397,/L,   12.2135,   1.3100703,  104.06059,  -12.45849,         n.a.,    n.a.,
